event_date,open_section_1,open_section_2,open_section_3,open_section_4,open_section_5,open_section_6,open_section_7
2022-09-01,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2022-09-02,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2022-09-03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2022-09-04,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2022-09-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2022-09-06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2022-09-07,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2022-09-08,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2022-09-09,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2022-09-10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2022-09-11,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2022-09-12,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2022-09-13,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2022-09-14,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2022-09-15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2022-09-16,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2022-09-17,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2022-09-18,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2022-09-19,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2022-09-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2022-09-21,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2022-09-22,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2022-09-23,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2022-09-24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2022-09-25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2022-09-26,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2022-09-27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2022-09-28,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2022-09-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2022-09-30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2022-10-01,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2022-10-02,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
