StreamName,YearGroup,Survey.Type,Section.Field,Section.Name,Section.Summ
Skagit River,2020-2021,Creel,Little eddy and Big eddy accesses,Skagit,1
Skagit River,2020-2021,Creel,Marblemount Bridge (Witham Boat Ramp),Skagit,1
Skagit River,2020-2021,Creel,Chapel Hole,Skagit,1
Skagit River,2020-2021,Creel,101 hole (Car Body hole access point),Skagit,1
Skagit River,2020-2021,Creel,Swift/Sutter rest stop,Skagit,1
Skagit River,2020-2021,Creel,Howard Miller Steelhead Park ramp,Skagit,1
Skagit River,2020-2021,Creel,Martin Launch (primitive Ramp across from Howard Miller Park),Skagit,1
Skagit River,2020-2021,Creel,Jackman Creek bridge,Skagit,1
Skagit River,2020-2021,Creel,Fabers North Access area and ramp,Skagit,1
Skagit River,2020-2021,Creel,Baker River Boat Ramp,Skagit,1
Skagit River,2020-2021,Creel,Fabers South Access area and ramp,Skagit,1
Skagit River,2020-2021,Creel,Big Timber log sign to Ovenells Heritage Inn driveway,Skagit,1
Skagit River,2020-2021,Creel,Darrington Sauk-Prairie Road bridge (aka Darrington Mill Bridge),Sauk,2
Skagit River,2020-2021,Creel,Bryson Road access parking area,Sauk,2
Skagit River,2020-2021,Creel,Bryson Road to USFS Lower Sauk Ramp along Hwy 530,Sauk,2
Skagit River,2020-2021,Creel,USFS Lower Sauk Ramp,Sauk,2
Skagit River,2020-2021,Creel,Lower Sauk Ramp bridge to Government Bridge along HWY 530,Sauk,2
Skagit River,2020-2021,Creel,Government Bridge Ramp,Sauk,2
Skagit River,2020-2021,Creel,Government Bridge down to Hippie Bar,Sauk,2
Skagit River,2020-2021,Creel,Hippie Bar downstream to Wagon Trail,Sauk,2
Skagit River,2020-2021,TieIn,Dalles bridge to Marblemount bridge,Skagit,1
Skagit River,2020-2021,TieIn,From mouth to Darrington Bridge (Sauk Prairie Rd. Bridge) CRC (828),Sauk,2
