District,River,Lat,Long
R5 Steelhead,Kalama River,,
District 13,Skykomish River,47.848824,-121.828772
District 13,Snohomish River,47.919078,-122.123032
District 13,Snoqualmie River,47.671574,-121.918296
District 13,NF Stillaguamish,48.261261,-121.963394
District 13,Tokul Creek,47.553122,-121.840681
District 13,Tolt,47.67609,-121.853495
District 13,Wallace,47.8677,-121.720603
District 14,Cascade River,48.523477,-121.771288
District 14,Sauk River,48.523477,-121.771288
District 14,Skagit River,48.523477,-121.771288
