water_body_desc,location_code,section,section_name
Skagit River,From Cascade River Rd. (Marblemount Bridge) to Gorge powerhouse at Newhalem,1,Dalles bridge to Marblemount bridge
Skagit River,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).,1,Dalles bridge to Marblemount bridge
Skagit River,Upstream of the mouth of the Baker River to the Hwy. 530 Bridge at Rockport,1,Dalles bridge to Marblemount bridge
Skagit River,Mouth to Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge),1,Dalles bridge to Marblemount bridge
Skagit River,From Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge) to mouth of Gilligan Creek,1,Dalles bridge to Marblemount bridge
Skagit River,From mouth of Gilligan Creek to the Dalles Bridge at Concrete,1,Dalles bridge to Marblemount bridge
Skagit River,From the Dalles Bridge at Concrete to 200' below the mouth of Baker River,1,Dalles bridge to Marblemount bridge
Skagit River,Above the east bank of the Baker River and below the west bank of the Baker River,1,Dalles bridge to Marblemount bridge
Skagit River,Primitive boat ramp old Lyman ferry,1,Dalles bridge to Marblemount bridge
Skagit River,Hamilton WDFW boat launch,1,Dalles bridge to Marblemount bridge
Skagit River,Rasar State Park,1,Dalles bridge to Marblemount bridge
Skagit River,Lyman Slough Conservation Area?,1,Dalles bridge to Marblemount bridge
Skagit River,Birdsview WDFW boat launch,1,Dalles bridge to Marblemount bridge
Skagit River,Pressentin Creek pull off,1,Dalles bridge to Marblemount bridge
Skagit River,Pressentin Creek to Gilligan Creek,1,Dalles bridge to Marblemount bridge
Skagit River,Old Lyman Ferry primitive boat launch,1,Dalles bridge to Marblemount bridge
Skagit River,Stirling Road Access,1,Dalles bridge to Marblemount bridge
Skagit River,Mill Town Boat Ramp (SF Skagit),1,Dalles bridge to Marblemount bridge
Skagit River,Conway Boat Ramp (SF Skagit),1,Dalles bridge to Marblemount bridge
Skagit River,"Skagit City Access (SF Skagit, N. end of Fir Island)",1,Dalles bridge to Marblemount bridge
Skagit River,"Blakes Landing (NF Skagit, private ramp)",1,Dalles bridge to Marblemount bridge
Skagit River,"North Fork Access (NF Skagit, at Best Road bridge)",1,Dalles bridge to Marblemount bridge
Skagit River,Spudhouse Access,1,Dalles bridge to Marblemount bridge
Skagit River,Edgewater Park,1,Dalles bridge to Marblemount bridge
Skagit River,Upper Young's Bar,1,Dalles bridge to Marblemount bridge
Skagit River,Railroad Bar,1,Dalles bridge to Marblemount bridge
Skagit River,Gardner Bar (aka Mayor Tjeerdsma launch),1,Dalles bridge to Marblemount bridge
Skagit River,Riverfront Park,1,Dalles bridge to Marblemount bridge
Skagit River,South Skagit Highway Stretch,1,Dalles bridge to Marblemount bridge
Skagit River,Baker River Boat Ramp,1,Dalles bridge to Marblemount bridge
Skagit River,Fabers North Access area and ramp,1,Dalles bridge to Marblemount bridge
Skagit River,Jackman Creek bridge,1,Dalles bridge to Marblemount bridge
Skagit River,Martin Launch (primitive Ramp across from Howard Miller Park),1,Dalles bridge to Marblemount bridge
Skagit River,Howard Miller Steelhead Park ramp,1,Dalles bridge to Marblemount bridge
Skagit River,Fabers South Access area and ramp,1,Dalles bridge to Marblemount bridge
Skagit River,Big Timber log sign to Ovenells Heritage Inn driveway,1,Dalles bridge to Marblemount bridge
Skagit River,Swift/Sutter rest stop,1,Dalles bridge to Marblemount bridge
Skagit River,101 hole (Car Body hole access point),1,Dalles bridge to Marblemount bridge
Skagit River,Chapel Hole,1,Dalles bridge to Marblemount bridge
Skagit River,Marblemount Bridge (Witham Boat Ramp),1,Dalles bridge to Marblemount bridge
Skagit River,Little eddy and Big eddy accesses,1,Dalles bridge to Marblemount bridge
Skagit River,Steelhead Club,1,Dalles bridge to Marblemount bridge
Skagit River,Dalles bridge to Marblemount bridge,1,Dalles bridge to Marblemount bridge
Sauk River,From mouth to Darrington Bridge (Sauk Prairie Rd. Bridge) CRC (828),2,From mouth to Darrington Bridge (Sauk Prairie Rd. Bridge)
Sauk River,Darrington Sauk-Prairie Road bridge (aka Darrington Mill Bridge),2,From mouth to Darrington Bridge (Sauk Prairie Rd. Bridge)
Sauk River,Bryson Road access parking area,2,From mouth to Darrington Bridge (Sauk Prairie Rd. Bridge)
Sauk River,Bryson Road to USFS Lower Sauk Ramp along Hwy 530,2,From mouth to Darrington Bridge (Sauk Prairie Rd. Bridge)
Sauk River,USFS Lower Sauk Ramp,2,From mouth to Darrington Bridge (Sauk Prairie Rd. Bridge)
Sauk River,Lower Sauk Ramp bridge to Government Bridge along HWY 530,2,From mouth to Darrington Bridge (Sauk Prairie Rd. Bridge)
Sauk River,Government Bridge Ramp,2,From mouth to Darrington Bridge (Sauk Prairie Rd. Bridge)
Sauk River,Government Bridge down to Hippie Bar,2,From mouth to Darrington Bridge (Sauk Prairie Rd. Bridge)
Sauk River,Hippie Bar downstream to Wagon Trail,2,From mouth to Darrington Bridge (Sauk Prairie Rd. Bridge)
